airline_id,name,alias,iata,icao,callsign,country_id,active
5363,Veteran Air,N,,VPB,VETERAN,285,N
5364,VIP-Avia,N,,VPV,VIP AVIA,132,N
5365,Vertair,N,,VRA,VERITAIR,287,N
5366,Volare Airlines,N,,VRE,UKRAINE VOLARE,285,N
5367,Voar Lda,N,,VRL,VOAR LINHAS,56,N
5368,VRG Linhas Aereas,Varig,RG,VRN,VARIG,78,Y
5369,Vickers Limited,N,,VSB,VICKERS,287,N
5370,Visig Operaciones Aereas,N,,VSG,VISIG,261,N
5371,Vision Airways Corporation,N,,VSN,VISION,88,N
5372,Voronezh Aircraft Manufacturing Society,N,,VSO,VASO,234,N
5373,VASP,N,VP,VSP,VASP,78,Y
5374,Virign Islands Seaplane Shuttle,N,,VSS,WATERBIRD,288,N
5375,Vuelos Especializados Tollocan,N,,VTC,VUELOS TOLLOCAN,188,N
5376,Vuelos Corporativos de Tehuacan,N,,VTH,VUELOS TEHUACAN,188,N
5377,Vostok Airlines,N,,VTK,VOSTOK,234,N
5378,Victor Tagle Larrain,N,,VTL,VITALA,94,N
5379,Vointeh,N,,VTV,VOINTEH,81,N
5380,Vuelos Internos Privados VIP,N,,VUR,VIPEC,116,N
5381,Vuela Bus,N,,VUS,VUELA BUS,188,N
5382,Vzlyet,N,,VZL,VZLYET,234,N
5383,VLM Airlines,N,VG,VLM,RUBENS,70,Y
5384,Viking Express,N,,WCY,TITAN AIR,288,N
5385,Victoria International Airways,N,,WEV,VICTORIA UGANDA,284,N
5386,Volga Aviaexpress,N,,WLG,GOUMRAK,234,N
5387,WDL Aviation,N,,WDL,WDL,133,N
5388,WRA Inc,N,,WRR,WRAP AIR,288,N
5389,WSI Corporation,N,,XWS,,288,N
5390,Walmart Aviation,N,,CGG,CHARGE,288,N
5391,Walsten Air Services,N,,WAS,WALSTEN,88,N
5392,Walter I Linkoping,N,,GOT,GOTHIC,267,N
5393,Wapiti Aviation,N,,WPT,WAPITI,88,N
5394,Warbelow's Air Ventures,N,,WAV,WARBELOW,288,N
5395,Warwickshire Aerocentre Ltd.,N,,ATX,AIRTAX,287,N
5396,Wasaya Airways,N,,WSG,WASAYA,88,N
5397,Wayraper,N,7W,,WAYRAPER,223,Y
5398,Weasua Air Transport Company,N,,WTC,WATCO,172,N
5399,WebJet Linhas A,N,WJ,WEB,WEB-BRASIL,78,Y
5400,Welch Aviation,N,,TDB,THUNDER BAY,288,N
5401,Welcome Air,N,2W,WLC,WELCOMEAIR,63,Y
5402,Wermlandsflyg AB,N,,BLW,BLUESTAR,267,N
5403,West Africa Airlines,N,,WCB,KILO YANKEE,134,N
5404,West African Air Transport,N,,WTF,WESTAF AIRTRANS,248,N
5405,West African Airlines,N,,WSF,,72,N
5406,West African Cargo Airlines,N,,WAC,WESTAF CARGO,186,N
5407,West Air Luxembourg,N,,WLX,WEST LUX,175,N
5408,West Air Sweden,N,PT,SWN,AIR SWEDEN,267,N
5409,West Caribbean Airways,N,,WCW,,97,N
5410,West Caribbean Costa Rica,N,,WCR,WEST CARIBBEAN,102,N
5411,West Coast Air,N,8O,,,88,Y
5412,West Coast Airlines,N,,WCG,WHISKY INDIA,134,N
5413,West Coast Airways,N,,WCA,WEST-LEONE,251,N
5414,West Freugh DTEO,N,,TEE,TEEBIRD,287,N
5415,West Wind Aviation,N,,WEW,WESTWIND,88,N
5416,WestJet,N,WS,WJA,WESTJET,88,Y
5417,Westair Aviation,N,,WAA,WESTAIR WINGS,199,N
5418,Westair Cargo Airlines,N,,WSC,WESTCAR,103,N
5419,Westair Industries,N,,PCM,PAC VALLEY,288,N
5420,Westcoast Energy,N,,BLK,BLUE FLAME,88,N
5421,Western Air,N,,WST,WESTERN BAHAMAS,65,N
5422,Western Air Couriers,N,,NPC,NORPAC,288,N
5423,Western Air Express,N,,WAE,WESTERN EXPRESS,288,N
5424,Western Airlines,N,WA,WAL,WESTERN,288,Y
5425,Western Arctic Air,N,,WAL,WESTERN ARCTIC,88,N
5426,Western Aviators,N,,WTV,WESTAVIA,288,N
5427,Western Express Air Lines,N,,WES,WEST EX,88,N
5428,Western Pacific Airlines,N,,KMR,KOMSTAR,288,N
5429,Western Pacific Airservice,N,,WPA,WESTPAC,255,N
5430,Westflight Aviation,N,,WSL,WEST LINE,287,N
5431,Westgates Airlines,N,,WSA,WESTATES,288,N
5432,Westland Helicopters,N,,WHE,WESTLAND,287,N
5433,Westpoint Air,N,,WTP,WESTPOINT,88,N
5434,Westward Airways,N,CN,WWD,WESTWARD,288,N
5435,White,N,,WHT,YOUNG SKY,226,N
5436,White Eagle Aviation,N,,WEA,WHITE EAGLE,225,N
5437,White River Air Services,N,,WRA,,88,N
5438,Whyalla Airlines,N,,WWL,,62,N
5439,Widerøe,N,WF,WIF,WIDEROE,214,Y
5440,Wiggins Airways,N,,WIG,WIGGINS AIRWAYS,288,N
5441,Wiking Helikopter Service,N,,WHS,WEEKING,133,N
5442,Wilbur's Flight Operations,N,,WFO,WILBURS,288,N
5443,Williams Air,N,,WLS,WILLIAMS AIR,288,N
5444,Williams Grand Prix Engineering,N,,WGP,GRAND PRIX,287,N
5445,Wimbi Dira Airways,N,,WDA,WIMBI DIRA,110,N
5446,Winair,N,,WNA,WINAIR,288,N
5447,Wind Jet,N,IV,JET,GHIBLI,156,Y
5448,Wind Spirit Air,N,,WSI,WIND SPIRIT,288,N
5449,Windrose Air,N,,QGA,QUADRIGA,133,N
5450,Windward Islands Airways International,N,,WIA,WINDWARD,202,N
5451,Wings Air,N,IW,WON,WINGS ABADI,151,Y
5452,Wings Air Transport,N,,WAT,,263,N
5453,Wings Airways,N,,WAW,WING SHUTTLE,288,N
5454,Wings Aviation,N,,WOL,WINGJET,143,N
5455,Wings Express,N,,WEX,WINGS EXPRESS,288,N
5456,Wings of Alaska,N,K5,WAK,WINGS ALASKA,288,N
5457,Wings of Lebanon Aviation,N,,WLB,WING LEBANON,170,N
5458,Winlink,N,,WIN,WINLINK,242,N
5459,Wisconsin Air National Guard,N,,WAG,,288,N
5460,Wisman Aviation,N,,WSM,WISMAN,288,N
5461,Wizz Air,N,W6,WZZ,WIZZ AIR,148,Y
5462,Wizz Air Hungary,N,8Z,WVL,WIZZBUL,81,Y
5463,Wondair on Demand Aviation,N,,WNR,WONDAIR,261,N
5464,Woodgate Executive Air Charter,N,,CWY,CAUSEWAY,287,N
5465,World Airways,N,WO,WOA,WORLD,288,Y
5466,World Weatherwatch,N,,XWW,,88,N
5467,World Wing Aviation,N,,WWM,MANAS WING,165,N
5468,Worldspan,N,1P,,,288,N
5469,Worldwide Air Charter Systems,N,,CSW,CHARTER SYSTEMS,88,N
5470,Worldwide Aviation Services,N,,WWS,,217,N
5471,Worldwide Jet Charter,N,,WWI,WORLDWIDE,288,N
5472,Wright Air Lines,N,,WRT,WRIGHT-AIR,288,N
5473,Wright Air Service,N,8V,WRF,WRIGHT FLYER,288,N
5474,Wuhan Airlines,N,,CWU,WUHAN AIR,95,N
5475,Wycombe Air Centre,N,,WYC,WYCOMBE,287,N
5476,Wyoming Airlines,N,,WYG,WYOMING,288,N
5479,XL Airways France,N,SE,SEU,STARWAY,127,Y
5480,XP Internation,N,,XPS,XP PARCEL,203,N
