airport_id,name,city,country_id,iata,icao,latitude,longitude,altitude_ft,timezone_hrs,dst,tz,type,source
5591,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,225,BZG,EPBY,53.0968017578,17.9776992798,235,1.0,E,Europe/Warsaw,airport,OurAirports
8692,Ust-Kamchatsk Airport,Ust Kamchatsk,234,N,UHPK,56.23860168457031,162.68800354003906,200,12.0,N,Asia/Anadyr,airport,OurAirports
11129,Nordborg Flyveplads,Nordborg,112,N,EKNB,55.07485,9.753379,0,1.0,E,N,airport,OurAirports
8342,Fort Worth Alliance Airport,Fort Worth,288,AFW,KAFW,32.9875984192,-97.3188018799,722,-6.0,A,America/Chicago,airport,OurAirports
5935,Ardabil Airport,Ardabil,152,ADU,OITL,38.3256988525,48.4244003296,4315,3.5,E,Asia/Tehran,airport,OurAirports
12987,Humberto Ghizzo Bortoluzzi Regional Airport,Jaguaruna,78,JJG,SBJA,-28.6753,-49.0596,120,-3.0,S,N,airport,OurAirports
1206,Split Airport,Split,104,SPU,LDSP,43.53889846801758,16.29800033569336,79,1.0,E,Europe/Zagreb,airport,OurAirports
358,Worms Airport,Worms,133,N,EDFV,49.606945,8.368333,295,1.0,E,Europe/Berlin,airport,OurAirports
6215,Long Lellang Airport,Long Datih,181,LGL,WBGF,3.42100000381,115.153999329,1400,8.0,N,Asia/Kuala_Lumpur,airport,OurAirports
878,Jwaneng Airport,Jwaneng,77,JWA,FBJW,-24.6023006439209,24.69099998474121,3900,2.0,U,Africa/Gaborone,airport,OurAirports
49,Edmonton International Airport,Edmonton,88,YEG,CYEG,53.3097000122,-113.580001831,2373,-7.0,A,America/Edmonton,airport,OurAirports
651,Molde Airport,Molde,214,MOL,ENML,62.744701385498,7.2624998092651,10,1.0,E,Europe/Oslo,airport,OurAirports
178,Calgary International Airport,Calgary,88,YYC,CYYC,51.113899231,-114.019996643,3557,-7.0,A,America/Edmonton,airport,OurAirports
1382,Charles de Gaulle International Airport,Paris,127,CDG,LFPG,49.012798,2.55,392,1.0,E,Europe/Paris,airport,OurAirports
3487,Dover Air Force Base,Dover,288,DOV,KDOV,39.12950134,-75.46600342,24,-5.0,A,America/New_York,airport,OurAirports
3164,Phrae Airport,Phrae,274,PRH,VTCP,18.132200241088867,100.16500091552734,538,7.0,U,Asia/Bangkok,airport,OurAirports
8505,Okeechobee County Airport,Okeechobee,288,OBE,KOBE,27.2628002167,-80.8498001099,34,-5.0,A,America/New_York,airport,OurAirports
13477,Libo Airport,Libo,95,LLB,ZULB,25.4525,107.961667,0,8.0,N,N,airport,OurAirports
11212,Picos Airport,Picos,78,PCS,SNPC,-7.0620598793029785,-41.52370071411133,1050,-3.0,N,N,airport,OurAirports
8784,Lima Allen County Airport,Lima,288,AOH,KAOH,40.706902,-84.026703,975,-5.0,A,America/New_York,airport,OurAirports
92,Maniwaki Airport,Maniwaki,88,YMW,CYMW,46.2728004456,-75.9906005859,656,-5.0,A,America/Toronto,airport,OurAirports
1338,Roanne-Renaison Airport,Roanne,127,RNE,LFLO,46.05830001831055,4.001389980316162,1106,1.0,E,Europe/Paris,airport,OurAirports
8034,Republic Airport,Farmingdale,288,FRG,KFRG,40.7288017273,-73.4133987427,82,-5.0,A,America/New_York,airport,OurAirports
2415,Dr.Juan C. Angara Airport,Baler,224,BQA,RPUR,15.729309,121.500034,108,8.0,N,Asia/Manila,airport,OurAirports
1964,Vava'u International Airport,Vava'u,276,VAV,NFTV,-18.58530044555664,-173.96200561523438,236,13.0,U,Pacific/Tongatapu,airport,OurAirports
3687,Fresno Yosemite International Airport,Fresno,288,FAT,KFAT,36.77619934082031,-119.71800231933594,336,-8.0,A,America/Los_Angeles,airport,OurAirports
13455,Sir Abubakar Tafawa Balewa International Airport,Bauchi,209,BCU,DNBC,10.482833,9.744,1965,1.0,N,N,airport,OurAirports
6192,Dien Bien Phu Airport,Dienbienphu,294,DIN,VVDB,21.3974990845,103.008003235,1611,7.0,U,Asia/Saigon,airport,OurAirports
3515,Myrtle Beach International Airport,Myrtle Beach,288,MYR,KMYR,33.6796989441,-78.9282989502,25,-5.0,A,America/New_York,airport,OurAirports
1050,Banjul International Airport,Banjul,131,BJL,GBYD,13.338000297546388,-16.65220069885254,95,0.0,N,Africa/Banjul,airport,OurAirports
11881,Blois-Le Breuil Airport,Blois/Le Breuil,127,N,LFOQ,47.678502,1.20884,398,,N,N,airport,OurAirports
107,Peterborough Airport,Peterborough,88,YPQ,CYPQ,44.22999954223633,-78.36329650878906,628,-5.0,A,America/Toronto,airport,OurAirports
9134,Chara Airport,Chara,234,N,UIAR,56.913333892822266,118.2699966430664,2201,9.0,N,Asia/Yakutsk,airport,OurAirports
8759,Galion Municipal Airport,Galion,288,GQQ,KGQQ,40.7533988953,-82.7238006592,1224,-5.0,A,America/New_York,airport,OurAirports
7349,Imbaimadai Airport,Imbaimadai,143,IMB,SYIB,5.708109855651856,-60.2942008972168,1646,-4.0,U,America/Guyana,airport,OurAirports
9199,Space Coast Regional Airport,Titusville,288,TIX,KTIX,28.514799118042,-80.799201965332,34,-5.0,A,America/New_York,airport,OurAirports
7703,Fréjus Airport,Frejus,127,FRJ,LFTU,43.4175,6.7357,33,1.0,E,Europe/Paris,airport,OurAirports
1045,Gao Airport,Gao,183,GAQ,GAGO,16.24839973449707,-0.0054560001008212,870,0.0,N,Africa/Bamako,airport,OurAirports
7332,Kayser Airport,Kayser,264,N,SMKE,3.094343,-56.472702,849,-3.0,U,America/Paramaribo,airport,OurAirports
2782,Teniente FAP Jaime A De Montreuil Morales Airport,Chimbote,223,CHM,SPEO,-9.149609565734863,-78.5238037109375,69,-5.0,U,America/Lima,airport,OurAirports
1207,Varaždin Airport,Varazdin,104,N,LDVA,46.29464721679688,16.382932662963867,548,1.0,E,Europe/Zagreb,airport,OurAirports
13424,Tilichiki Airport,Tilichiki,234,N,UHPT,60.3828010559082,166.0260009765625,7,12.0,N,N,airport,OurAirports
8924,Velikiy Ustyug Airport,Veliky Ustyug,234,VUS,ULWU,60.78829956054688,46.2599983215332,331,3.0,N,Europe/Moscow,airport,OurAirports
5725,Brunswick Golden Isles Airport,Brunswick,288,BQK,KBQK,31.2588005065918,-81.46649932861328,26,-5.0,A,America/New_York,airport,OurAirports
6996,Haller Airpark,Green Cove Springs,288,N,7FL4,29.904057,-81.68515,75,-5.0,A,America/New_York,airport,OurAirports
2872,Linden Airport,Linden,143,N,SYLD,5.96592,-58.270302,180,-4.0,U,America/Guyana,airport,OurAirports
